anime,MyAnimeList link
steins gate (series),https://myanimelist.net/anime/9253/Steins_Gate
kiss x sis,https://myanimelist.net/anime/7593/Kiss_x_Sis_TV
demon slayer,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
date a live (series),https://myanimelist.net/anime/15583/Date_A_Live
love live (series),https://myanimelist.net/anime/32526/Love_Live_Sunshine
death parade,https://myanimelist.net/anime/28223/Death_Parade
grand blue,https://myanimelist.net/anime/37105/Grand_Blue
Hataraku Saibou,https://myanimelist.net/anime/37141/Hataraku_Saibou_TV
Himegoto,https://myanimelist.net/anime/22835/Himegoto
Kanata no Astara,https://myanimelist.net/anime/39198/Kanata_no_Astra
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,https://myanimelist.net/anime/39326/Kawaikereba_Hentai_demo_Suki_ni_Natte_Kuremasu_ka
Kyokou Suiri,https://myanimelist.net/anime/39017/Kyokou_Suiri
Ryuugajou Nanana no Maizoukin,https://myanimelist.net/anime/21561/Ryuugajou_Nanana_no_Maizoukin_TV
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,https://myanimelist.net/anime/37450/Seishun_Buta_Yarou_wa_Bunny_Girl_Senpai_no_Yume_wo_Minai
ergo proxy,https://myanimelist.net/anime/790/Ergo_Proxy
5-toubun no Hanayome,https://myanimelist.net/anime/38101/5-toubun_no_Hanayome
my dress-up darling,https://myanimelist.net/anime/48736/Sono_Bisque_Doll_wa_Koi_wo_Suru
spy x family,https://myanimelist.net/anime/50265/Spy_x_Family?q=spy&cat=anime
Inu ni Nattara Suki na Hito ni Hirowareta,https://myanimelist.net/anime/51265/Inu_ni_Nattara_Suki_na_Hito_ni_Hirowareta
cyberpunk edgerunners,https://www.imdb.com/title/tt12590266/
