movies,IMDB link or sth similar
matrix series,https://www.imdb.com/title/tt0133093/?ref_=ttfc_fc_tt
in time,https://www.imdb.com/title/tt1637688/
unbreakable/split/glass,https://www.imdb.com/title/tt0217869/?ref_=nv_sr_srsg_0
the social network,https://www.imdb.com/title/tt1285016/
anna,https://www.imdb.com/title/tt7456310/
12 mighty orphans,https://www.imdb.com/title/tt8482584/
carrie,https://www.imdb.com/title/tt1939659/
interstellar,https://www.imdb.com/title/tt0816692/
lost girls & love hotels,https://www.imdb.com/title/tt0920462/
hunger games series,https://www.imdb.com/title/tt1392170/
maze runner series,https://www.imdb.com/title/tt1790864/
need for speed,https://www.imdb.com/title/tt2369135/
baby driver,https://www.imdb.com/title/tt3890160/
cube movies,https://www.imdb.com/title/tt0285492/
saw series,https://www.imdb.com/title/tt0387564/
chloe,https://www.imdb.com/title/tt1352824/
lovelace,https://www.imdb.com/title/tt1426329/
anon,https://www.imdb.com/title/tt5397194/
lucy,https://www.imdb.com/title/tt2872732/
the boy in the striped pajamas,https://www.imdb.com/title/tt0914798/
superbad,https://www.imdb.com/title/tt0829482/
the clapper,https://www.imdb.com/title/tt5461956/
stowaway,https://www.imdb.com/title/tt9203694/
gravity,https://www.imdb.com/title/tt1454468/
the martian,https://www.imdb.com/title/tt3659388/
under the skin,https://www.imdb.com/title/tt1441395/
ghost in the shell,https://www.imdb.com/title/tt1219827/
jojo rabbit,https://www.imdb.com/title/tt2584384/
rough night,https://www.imdb.com/title/tt4799050/
ted series,https://www.imdb.com/title/tt1637725/
hancock,https://www.imdb.com/title/tt0448157/
looper,https://www.imdb.com/title/tt1276104/
passengers,https://www.imdb.com/title/tt1355644/
12 feet deep,https://www.imdb.com/title/tt5143226/
extraction,https://www.imdb.com/title/tt8936646/
tenet,https://www.imdb.com/title/tt6723592/
the platform,https://www.imdb.com/title/tt8228288/
Perfume: The Story of a Murderer,https://www.imdb.com/title/tt0396171/
arrival,https://www.imdb.com/title/tt2543164/
flatliners,https://www.imdb.com/title/tt2039338/
6 underground,https://www.imdb.com/title/tt8106534/
the purge,https://www.imdb.com/title/tt2184339/
war of the worlds,https://www.imdb.com/title/tt0407304/
2012,https://www.imdb.com/title/tt1190080/
jumper,https://www.imdb.com/title/tt0489099/
7500,https://www.imdb.com/title/tt6436726/
crank/crank: high voltage,https://www.imdb.com/title/tt0479884/
ad astra,https://www.imdb.com/title/tt2935510/
life,https://www.imdb.com/title/tt5442430/
avatar,https://www.imdb.com/title/tt0499549/
after earth,https://www.imdb.com/title/tt1815862/
21 jump street,https://www.imdb.com/title/tt1232829/
22 jump street,https://www.imdb.com/title/tt2294449/
million ways to die in the west,https://www.imdb.com/title/tt2557490/
jackass series,https://www.imdb.com/title/tt0322802/
last night in soho,https://www.imdb.com/title/tt9639470/
harold and kumar series,https://www.imdb.com/title/tt0481536/
now you see me series,https://www.imdb.com/title/tt1670345/
fast and furious series,https://www.imdb.com/title/tt0232500/
money monster,https://www.imdb.com/title/tt2241351/
new kids turbo/new kids nitro,https://www.imdb.com/title/tt1648112/
bad santa series,https://www.imdb.com/title/tt0307987/
R.I.A,https://www.imdb.com/title/tt9126944/?ref_=fn_al_tt_1
mean girls series,https://www.imdb.com/title/tt0377092/
escape room series,https://www.imdb.com/title/tt5886046/
inglourious basterds,https://www.imdb.com/title/tt0361748/
death wish,https://www.imdb.com/title/tt1137450/
kill bill series,https://www.imdb.com/title/tt0266697/
deuce bigalow male/european gigolo,https://www.imdb.com/title/tt0205000/
book thief,https://www.imdb.com/title/tt0816442/
the theory of everything,https://www.imdb.com/title/tt2980516/
life of pi,https://www.imdb.com/title/tt0454876/
